City,State,Funding,geometry
Berlin,Berlin,3246402.47,POINT (13.4349112 52.5103817)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Cologne,Nordrhein-Westfalen,,POINT (6.959974 50.938361)
Düsseldorf,Nordrhein-Westfalen,1417000.0,POINT (6.7763137 51.2254018)
Heidelberg,Baden-Wurttemberg,,POINT (8.694724 49.4093582)
Hanover,Niedersachsen,685000.0,POINT (9.7385532 52.3744779)
Berlin,Berlin,24840000.0,POINT (13.4349112 52.5103817)
Cologne,Nordrhein-Westfalen,,POINT (6.959974 50.938361)
Berlin,Berlin,650000.0,POINT (13.4349112 52.5103817)
München,Bayern,109000.0,POINT (11.5753822 48.1371079)
Berlin,Berlin,21800.0,POINT (13.4349112 52.5103817)
München,Bayern,1000000.0,POINT (11.5753822 48.1371079)
Kühstein,Bayern,,POINT (13.163295 48.306248)
Frankfurt,Hessen,4180000.000000001,POINT (8.6820917 50.1106444)
Munich,Bayern,9747977.91,POINT (11.5753822 48.1371079)
Karlsruhe,Baden-Wurttemberg,,POINT (8.4034195 49.0068705)
Munich,Bayern,1705000.0,POINT (11.5753822 48.1371079)
Hamburg,Hamburg,900000.0,POINT (9.975375829413123 53.5909051)
Saarbrücken,Saarland,400000.0,POINT (6.996379 49.234362)
Berlin,Berlin,1100000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Bochum,Nordrhein-Westfalen,565000.0,POINT (7.2196635 51.4818111)
Berlin,Berlin,4500000.0,POINT (13.4349112 52.5103817)
München,Bayern,5000000.0,POINT (11.5753822 48.1371079)
Berlin,Berlin,570570.0,POINT (13.4349112 52.5103817)
Frankfurt,Hessen,3600000.0,POINT (8.6820917 50.1106444)
Munich,Bayern,2500000.0,POINT (11.5753822 48.1371079)
Cologne,Nordrhein-Westfalen,1100000.0,POINT (6.959974 50.938361)
Düsseldorf,Nordrhein-Westfalen,1400000.0,POINT (6.7763137 51.2254018)
Heilbronn,Baden-Wurttemberg,200000.0,POINT (9.218655 49.142291)
Düsseldorf,Nordrhein-Westfalen,2200000.0,POINT (6.7763137 51.2254018)
Berlin,Berlin,100000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Berlin,Berlin,2430000.0,POINT (13.4349112 52.5103817)
Bruchsal,Baden-Wurttemberg,5700000.0,POINT (8.5980244 49.124118)
München,Bayern,3600000.0,POINT (11.5753822 48.1371079)
Hamburg,Hamburg,1500000.0,POINT (9.975375829413123 53.5909051)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Berlin,Berlin,2500000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,170000.0,POINT (13.4349112 52.5103817)
Köln,Nordrhein-Westfalen,700000.0,POINT (6.959974 50.938361)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Berlin,Berlin,1500000.0,POINT (13.4349112 52.5103817)
Munich,Bayern,214000.0,POINT (11.5753822 48.1371079)
Oberursel,Hessen,1800000.0,POINT (8.5461079 50.2062948)
Munich,Bayern,53500.0,POINT (11.5753822 48.1371079)
Berlin,Berlin,4700000.0,POINT (13.4349112 52.5103817)
Hamburg,Hamburg,150000.0,POINT (9.975375829413123 53.5909051)
Munich,Bayern,120000.0,POINT (11.5753822 48.1371079)
Berlin,Berlin,23345423.71,POINT (13.4349112 52.5103817)
Aachen,Nordrhein-Westfalen,540000.0,POINT (6.083862 50.776351)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Berlin,Berlin,13800000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,1650000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Hamburg,Hamburg,21800.0,POINT (9.975375829413123 53.5909051)
Hamburg,Hamburg,3288547.4400000004,POINT (9.975375829413123 53.5909051)
Augsburg,Bayern,1090000.0,POINT (10.8979522 48.3690341)
Hamburg,Hamburg,1100000.0,POINT (9.975375829413123 53.5909051)
Herford,Nordrhein-Westfalen,1000000.0,POINT (8.6711118 52.1152245)
Darmstadt,Hessen,21800.0,POINT (8.6736295 49.8851869)
Kaiserslautern,Rheinland-Pfalz,490000.0,POINT (7.7689951 49.4432174)
Munich,Bayern,899250.0000000001,POINT (11.5753822 48.1371079)
Berlin,Berlin,25000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,2550000.0,POINT (13.4349112 52.5103817)
Frankfurt,Hessen,4300000.0,POINT (8.6820917 50.1106444)
Berlin,Berlin,1000000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,3550000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,1700000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,6431000.000000001,POINT (13.4349112 52.5103817)
Berlin,Berlin,3198274.2,POINT (13.4349112 52.5103817)
Düsseldorf,Nordrhein-Westfalen,2400000.0,POINT (6.7763137 51.2254018)
Mühldorf Am Inn,Bayern,3080000.0000000005,POINT (12.5250991 48.2405007)
Nürnberg,Bayern,1600000.0,POINT (11.077298 49.453872)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Gröbenzell,Bayern,,POINT (11.370911 48.1942336)
Stuttgart,Baden-Wurttemberg,,POINT (9.1800132 48.7784485)
Darmstadt,Hessen,1416800.0000000002,POINT (8.6736295 49.8851869)
Berlin,Berlin,1680000.0000000002,POINT (13.4349112 52.5103817)
Munich,Bayern,6300000.0,POINT (11.5753822 48.1371079)
Freiburg,Baden-Wurttemberg,33454397.0,POINT (7.8494005 47.9960901)
Aachen,Nordrhein-Westfalen,,POINT (6.083862 50.776351)
Berlin,Berlin,2750000.0,POINT (13.4349112 52.5103817)
Frankfurt,Hessen,5000000.0,POINT (8.6820917 50.1106444)
Berlin,Berlin,6600000.0,POINT (13.4349112 52.5103817)
Munich,Bayern,4950000.0,POINT (11.5753822 48.1371079)
Stuttgart,Baden-Wurttemberg,5500000.0,POINT (9.1800132 48.7784485)
Munich,Bayern,2650000.0,POINT (11.5753822 48.1371079)
Berlin,Berlin,4000000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,9200000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,100000.0,POINT (13.4349112 52.5103817)
Aachen,Nordrhein-Westfalen,20159364.700000003,POINT (6.083862 50.776351)
Dresden,Sachsen,13300000.0,POINT (13.7381437 51.0493286)
Munich,Bayern,19000000.0,POINT (11.5753822 48.1371079)
Berlin,Berlin,2916000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Karlsruhe,Baden-Wurttemberg,6050000.0,POINT (8.4034195 49.0068705)
Munich,Bayern,6000000.0,POINT (11.5753822 48.1371079)
Munich,Bayern,,POINT (11.5753822 48.1371079)
Dortmund,Nordrhein-Westfalen,2200000.0,POINT (7.4652789 51.5142273)
Munich,Bayern,1620000.0,POINT (11.5753822 48.1371079)
Tamm,Baden-Wurttemberg,1188000.0,POINT (9.1158361 48.9204307)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Saarbrücken,Saarland,909360.0,POINT (6.996379 49.234362)
Bremen,Bremen,800000.0,POINT (8.8071646 53.0758196)
Hamburg,Hamburg,,POINT (9.975375829413123 53.5909051)
Münster,Nordrhein-Westfalen,1200000.0,POINT (7.6251879 51.9625101)
Babenhausen,Hessen,535000.0,POINT (8.9460279 49.9562183)
Hamburg,Hamburg,3000000.0,POINT (9.975375829413123 53.5909051)
Garching Bei München,Bayern,2200000.0,POINT (11.6509662 48.2513878)
Osnabrück,Niedersachsen,,POINT (8.047635 52.2719595)
Berlin,Berlin,8600000.0,POINT (13.4349112 52.5103817)
Freiberg,Sachsen,,POINT (13.3428889 50.9169415)
Straßlach-dingharting,Bayern,1500000.0,POINT (11.5139406 48.0068709)
Düsseldorf,Nordrhein-Westfalen,2000000.0,POINT (6.7763137 51.2254018)
Berlin,Berlin,1272000.0,POINT (13.4349112 52.5103817)
Munich,Bayern,1100000.0,POINT (11.5753822 48.1371079)
Berlin,Berlin,100000.0,POINT (13.4349112 52.5103817)
Stuttgart,Baden-Wurttemberg,,POINT (9.1800132 48.7784485)
Nuremberg,Bayern,10000000.0,POINT (11.077298 49.453872)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Munich,Bayern,13500000.0,POINT (11.5753822 48.1371079)
Frankfurt,Hessen,,POINT (8.6820917 50.1106444)
Berlin,Berlin,1905755.25,POINT (13.4349112 52.5103817)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Munich,Bayern,21200.0,POINT (11.5753822 48.1371079)
Mannheim,Baden-Wurttemberg,127200.0,POINT (8.4673098 49.4892913)
Berlin,Berlin,6200000.0,POINT (13.4349112 52.5103817)
Munich,Bayern,1000000.0,POINT (11.5753822 48.1371079)
Berlin,Berlin,1700000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,1600000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,2745750.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Bielefeld,Nordrhein-Westfalen,6300000.0,POINT (8.531007 52.0191005)
Berlin,Berlin,424000.0,POINT (13.4349112 52.5103817)
Munich,Bayern,6784000.0,POINT (11.5753822 48.1371079)
Hamburg,Hamburg,14500000.0,POINT (9.975375829413123 53.5909051)
Hamburg,Hamburg,13000000.0,POINT (9.975375829413123 53.5909051)
Berlin,Berlin,8400000.0,POINT (13.4349112 52.5103817)
Kiel,Schleswig-Holstein,,POINT (10.135555 54.3227085)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Munich,Bayern,4700000.0,POINT (11.5753822 48.1371079)
Holzkirchen,Bayern,530000.0,POINT (9.6796728 49.7816986)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Düsseldorf,Nordrhein-Westfalen,,POINT (6.7763137 51.2254018)
Teltow,Brandenburg,1800000.0,POINT (13.2685278 52.3805562)
Munich,Bayern,2500000.0,POINT (11.5753822 48.1371079)
Berlin,Berlin,4280000.0,POINT (13.4349112 52.5103817)
Köln,Nordrhein-Westfalen,4100000.0,POINT (6.959974 50.938361)
Dortmund,Nordrhein-Westfalen,1320000.0,POINT (7.4652789 51.5142273)
Berlin,Berlin,1600000.0,POINT (13.4349112 52.5103817)
Munich,Bayern,8800000.0,POINT (11.5753822 48.1371079)
Munich,Bayern,2200000.0,POINT (11.5753822 48.1371079)
Berlin,Berlin,842725.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,5463014.600000001,POINT (13.4349112 52.5103817)
Berlin,Berlin,109000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,3000000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,29000000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Berlin,Berlin,477222.84,POINT (13.4349112 52.5103817)
Munich,Bayern,56300000.0,POINT (11.5753822 48.1371079)
Cologne,Nordrhein-Westfalen,800000.0,POINT (6.959974 50.938361)
Hamburg,Hamburg,4600000.0,POINT (9.975375829413123 53.5909051)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Berlin,Berlin,560000.0,POINT (13.4349112 52.5103817)
Karlsruhe,Baden-Wurttemberg,13500000.0,POINT (8.4034195 49.0068705)
Potsdam,Brandenburg,1175000.0,POINT (13.0591397 52.4009309)
Hamburg,Hamburg,4200000.0,POINT (9.975375829413123 53.5909051)
Hanover,Niedersachsen,400000.0,POINT (9.7385532 52.3744779)
Erfurt,Thuringen,,POINT (11.0287364 50.9777974)
Hamburg,Hamburg,400000.0,POINT (9.975375829413123 53.5909051)
Eschborn,Hessen,,POINT (8.5607767 50.1504737)
München,Bayern,6000000.0,POINT (11.5753822 48.1371079)
Hamburg,Hamburg,3296137.9000000004,POINT (9.975375829413123 53.5909051)
Eching,Bayern,1300000.0,POINT (11.6167 48.3)
Neumünster,Schleswig-Holstein,2700000.0,POINT (9.9815377 54.0757442)
Munich,Bayern,11554000.0,POINT (11.5753822 48.1371079)
Berlin,Berlin,41188999.57,POINT (13.4349112 52.5103817)
Berlin,Berlin,931950.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Berlin,Berlin,9000000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,100000.0,POINT (13.4349112 52.5103817)
Aachen,Nordrhein-Westfalen,,POINT (6.083862 50.776351)
Berlin,Berlin,6048000.0,POINT (13.4349112 52.5103817)
Dresden,Sachsen,7300000.0,POINT (13.7381437 51.0493286)
Paderborn,Nordrhein-Westfalen,,POINT (8.752653 51.7177044)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Berlin,Berlin,1200000.0,POINT (13.4349112 52.5103817)
Potsdam,Brandenburg,1200000.0,POINT (13.0591397 52.4009309)
Berlin,Berlin,1620000.0,POINT (13.4349112 52.5103817)
Frankfurt,Hessen,1400000.0,POINT (8.6820917 50.1106444)
Berlin,Berlin,535000.0,POINT (13.4349112 52.5103817)
Munich,Bayern,100000.0,POINT (11.5753822 48.1371079)
Berlin,Berlin,100000.0,POINT (13.4349112 52.5103817)
Munich,Bayern,100000.0,POINT (11.5753822 48.1371079)
Berlin,Berlin,108000.0,POINT (13.4349112 52.5103817)
Cologne,Nordrhein-Westfalen,,POINT (6.959974 50.938361)
Berlin,Berlin,3533434.25,POINT (13.4349112 52.5103817)
Berlin,Berlin,2675000.0,POINT (13.4349112 52.5103817)
Hamburg,Hamburg,25252000.0,POINT (9.975375829413123 53.5909051)
Hamburg,Hamburg,588500.0,POINT (9.975375829413123 53.5909051)
Berlin,Berlin,100000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,18841505.040000003,POINT (13.4349112 52.5103817)
Darmstadt,Hessen,11400000.0,POINT (8.6736295 49.8851869)
Berlin,Berlin,4000000.0,POINT (13.4349112 52.5103817)
Ulm,Baden-Wurttemberg,1600000.0,POINT (9.9912458 48.3984968)
Paderborn,Nordrhein-Westfalen,3700000.0,POINT (8.752653 51.7177044)
Karlsruhe,Baden-Wurttemberg,4500000.0,POINT (8.4034195 49.0068705)
Hamburg,Hamburg,23760000.0,POINT (9.975375829413123 53.5909051)
Cologne,Nordrhein-Westfalen,5000000.0,POINT (6.959974 50.938361)
Berlin,Berlin,1500000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,1200000.0,POINT (13.4349112 52.5103817)
Stuttgart,Baden-Wurttemberg,2100000.0,POINT (9.1800132 48.7784485)
Cologne,Nordrhein-Westfalen,,POINT (6.959974 50.938361)
Frankfurt,Hessen,1732716.36,POINT (8.6820917 50.1106444)
Munich,Bayern,100000.0,POINT (11.5753822 48.1371079)
Ludwigsburg-eglosheim,Baden-Wurttemberg,,POINT (9.1711704 48.909746)
Halle,Sachsen-Anhalt,,POINT (11.9705452 51.4825041)
Berlin,Berlin,6500000.0,POINT (13.4349112 52.5103817)
Hamburg,Hamburg,4925883.3100000005,POINT (9.975375829413123 53.5909051)
Bonn,Nordrhein-Westfalen,1500000.0,POINT (7.1024635 50.7352621)
Osnabrück,Niedersachsen,21000000.0,POINT (8.047635 52.2719595)
München,Bayern,3300000.0000000005,POINT (11.5753822 48.1371079)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Hanover,Niedersachsen,5043913.96,POINT (9.7385532 52.3744779)
Berlin,Berlin,5000000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,28508.95,POINT (13.4349112 52.5103817)
Berlin,Berlin,50000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,1895000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,9450000.0,POINT (13.4349112 52.5103817)
Munich,Bayern,3117227.76,POINT (11.5753822 48.1371079)
Düsseldorf,Nordrhein-Westfalen,,POINT (6.7763137 51.2254018)
Berlin,Berlin,600000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,540000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,25920000.0,POINT (13.4349112 52.5103817)
Munich,Bayern,1200000.0,POINT (11.5753822 48.1371079)
Berlin,Berlin,3500000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,1100000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,35600000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Berlin,Berlin,6500000.0,POINT (13.4349112 52.5103817)
Hamburg,Hamburg,526785.0,POINT (9.975375829413123 53.5909051)
Großrinderfeld,Baden-Wurttemberg,7500000.0,POINT (9.7332965 49.6657707)
Berlin,Berlin,3710000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,100000.0,POINT (13.4349112 52.5103817)
Esslingen,Baden-Wurttemberg,53217406.580000006,POINT (9.3071685 48.7427584)
Garmisch-partenkirchen,Bayern,,POINT (11.0962815 47.4923741)
Berlin,Berlin,6100000.0,POINT (13.4349112 52.5103817)
Hamburg,Hamburg,550000.0,POINT (9.975375829413123 53.5909051)
Gräfelfing,Bayern,2568000.0,POINT (11.4299784 48.1212042)
Berlin,Berlin,5800000.0,POINT (13.4349112 52.5103817)
Essen,Nordrhein-Westfalen,,POINT (7.0158171 51.4582235)
Berlin,Berlin,25000000.0,POINT (13.4349112 52.5103817)
Frankfurt,Hessen,1000000.0,POINT (8.6820917 50.1106444)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Stuttgart,Baden-Wurttemberg,1600000.0,POINT (9.1800132 48.7784485)
Berlin,Berlin,1647871.56,POINT (13.4349112 52.5103817)
Unterhaching,Bayern,,POINT (11.6102245 48.0662249)
Berlin,Berlin,12400000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,100000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,14000000.0,POINT (13.4349112 52.5103817)
Frankfurt An Der Oder,Brandenburg,,POINT (14.549452 52.3412273)
Berlin,Berlin,3000000.0,POINT (13.4349112 52.5103817)
Cologne,Nordrhein-Westfalen,1850000.0,POINT (6.959974 50.938361)
Berlin,Berlin,8400000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,6145872.840000001,POINT (13.4349112 52.5103817)
Berlin,Berlin,1100000.0,POINT (13.4349112 52.5103817)
Aachen,Nordrhein-Westfalen,,POINT (6.083862 50.776351)
Munich,Bayern,136250.0,POINT (11.5753822 48.1371079)
Munich,Bayern,3000000.0,POINT (11.5753822 48.1371079)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Hamburg,Hamburg,14100000.0,POINT (9.975375829413123 53.5909051)
Köln,Nordrhein-Westfalen,1500000.0,POINT (6.959974 50.938361)
Berlin,Berlin,240000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,7560000.000000001,POINT (13.4349112 52.5103817)
München,Bayern,10150000.0,POINT (11.5753822 48.1371079)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Mannheim,Baden-Wurttemberg,,POINT (8.4673098 49.4892913)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Landshut,Bayern,500000.0,POINT (12.1516551 48.536217)
Berlin,Berlin,785000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,800000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,8000000.0,POINT (13.4349112 52.5103817)
Hamburg,Hamburg,7409039.760000001,POINT (9.975375829413123 53.5909051)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Berlin,Berlin,9613540.19,POINT (13.4349112 52.5103817)
Berlin,Berlin,14700000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,2750000.0,POINT (13.4349112 52.5103817)
Hamburg,Hamburg,400000.0,POINT (9.975375829413123 53.5909051)
Berlin,Berlin,2368724.04,POINT (13.4349112 52.5103817)
Munich,Bayern,7008579.0,POINT (11.5753822 48.1371079)
Berlin,Berlin,27000000.0,POINT (13.4349112 52.5103817)
Munich,Bayern,1450000.0,POINT (11.5753822 48.1371079)
Münster,Nordrhein-Westfalen,2100000.0,POINT (7.6251879 51.9625101)
Munich,Bayern,7100000.0,POINT (11.5753822 48.1371079)
Cologne,Nordrhein-Westfalen,2500000.0,POINT (6.959974 50.938361)
Berlin,Berlin,1000000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,24725948.76,POINT (13.4349112 52.5103817)
Freiburg Im Breisgau,Baden-Wurttemberg,28000000.0,POINT (7.8494005 47.9960901)
Nersingen,Bayern,3200000.0,POINT (10.1220817 48.4279583)
Frankfurt,Hessen,1500000.0,POINT (8.6820917 50.1106444)
Berlin,Berlin,2500000.0,POINT (13.4349112 52.5103817)
Kiel,Schleswig-Holstein,760000.0,POINT (10.135555 54.3227085)
München,Bayern,2400000.0,POINT (11.5753822 48.1371079)
Berlin,Berlin,10500000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Munich,Bayern,,POINT (11.5753822 48.1371079)
Berlin,Berlin,100000.0,POINT (13.4349112 52.5103817)
Dresden,Sachsen,1500000.0,POINT (13.7381437 51.0493286)
Berlin,Berlin,193600.00000000003,POINT (13.4349112 52.5103817)
Munich,Bayern,355000.0,POINT (11.5753822 48.1371079)
Hamburg,Hamburg,3552000.0000000005,POINT (9.975375829413123 53.5909051)
Augsburg,Bayern,13000000.0,POINT (10.8979522 48.3690341)
Berlin,Berlin,333000.00000000006,POINT (13.4349112 52.5103817)
Berlin,Berlin,1150000.0,POINT (13.4349112 52.5103817)
Jena,Thuringen,8500000.0,POINT (11.5879359 50.9281717)
Herford,Nordrhein-Westfalen,,POINT (8.6711118 52.1152245)
Leinfelden-echterdingen,Baden-Wurttemberg,1325000.0,POINT (9.1525725 48.6901796)
Berlin,Berlin,12100000.0,POINT (13.4349112 52.5103817)
Munich,Bayern,3500000.0,POINT (11.5753822 48.1371079)
Berlin,Berlin,800000.0,POINT (13.4349112 52.5103817)
Stuttgart,Baden-Wurttemberg,5000000.0,POINT (9.1800132 48.7784485)
Munich,Bayern,300000.0,POINT (11.5753822 48.1371079)
Hamburg,Hamburg,5142000.0,POINT (9.975375829413123 53.5909051)
Berlin,Berlin,5074358.24,POINT (13.4349112 52.5103817)
Berlin,Berlin,560000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,634006.2400000001,POINT (13.4349112 52.5103817)
Münster,Nordrhein-Westfalen,8200000.0,POINT (7.6251879 51.9625101)
Berlin,Berlin,2500000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,17400000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,150000.0,POINT (13.4349112 52.5103817)
Munich,Bayern,222000.00000000003,POINT (11.5753822 48.1371079)
Berlin,Berlin,8976269.5,POINT (13.4349112 52.5103817)
Leipzig,Sachsen,,POINT (12.3747329 51.3406321)
Berlin,Berlin,1900000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,1500000.0,POINT (13.4349112 52.5103817)
Wedel,Niedersachsen,1030000.0,POINT (9.4041288 53.4999367)
Berlin,Berlin,7833882.32,POINT (13.4349112 52.5103817)
Munich,Bayern,2776088.0,POINT (11.5753822 48.1371079)
Freiburg,Baden-Wurttemberg,8050000.0,POINT (7.8494005 47.9960901)
Heidelberg,Baden-Wurttemberg,18500000.0,POINT (8.694724 49.4093582)
Berlin,Berlin,6372000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,1090000.0,POINT (13.4349112 52.5103817)
Hamburg,Hamburg,20000000.0,POINT (9.975375829413123 53.5909051)
Berlin,Berlin,6000000.0,POINT (13.4349112 52.5103817)
Munich,Bayern,1710000.0,POINT (11.5753822 48.1371079)
Kassel,Hessen,800000.0,POINT (9.4978479 51.3157833)
Berlin,Berlin,7875000.0,POINT (13.4349112 52.5103817)
Bochum,Nordrhein-Westfalen,8600000.0,POINT (7.2196635 51.4818111)
Teltow,Brandenburg,1431000.0,POINT (13.2685278 52.3805562)
Berlin,Berlin,1500000.0,POINT (13.4349112 52.5103817)
Munich,Bayern,750000.0,POINT (11.5753822 48.1371079)
Margetshöchheim,Bayern,20000000.0,POINT (9.86389 49.8375)
Darmstadt,Hessen,8000000.0,POINT (8.6736295 49.8851869)
Berlin,Berlin,9154321.12,POINT (13.4349112 52.5103817)
Munich,Bayern,19100000.0,POINT (11.5753822 48.1371079)
Munich,Bayern,750000.0,POINT (11.5753822 48.1371079)
Berlin,Berlin,5200000.0,POINT (13.4349112 52.5103817)
Munich,Bayern,,POINT (11.5753822 48.1371079)
Berlin,Berlin,20000000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,525000.0,POINT (13.4349112 52.5103817)
Stuttgart,Baden-Wurttemberg,6200000.0,POINT (9.1800132 48.7784485)
Berlin,Berlin,525000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,5000000.0,POINT (13.4349112 52.5103817)
Ober-ramstadt,Hessen,,POINT (8.7548 49.8152)
Berlin,Berlin,1000000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Bonn,Nordrhein-Westfalen,945000.0,POINT (7.1024635 50.7352621)
Stuttgart,Baden-Wurttemberg,5100000.0,POINT (9.1800132 48.7784485)
Stuttgart,Baden-Wurttemberg,4000000.0,POINT (9.1800132 48.7784485)
Leipzig,Sachsen,760000.0,POINT (12.3747329 51.3406321)
Munich,Bayern,2575000.0,POINT (11.5753822 48.1371079)
